인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20100722,1,,충청북도 청주시 흥덕구 신봉동 146-7 1층,충북재활원보호작업장,제과점영업,흥덕구,신봉동
20100805,1,,충청북도 청주시 흥덕구 복대동 1000번지 (1층),파리바게뜨(청주가경시장점),제과점영업,흥덕구,복대동
20100920,1,,충청북도 청주시 흥덕구 복대동 299-1,파리바게뜨 청주복대점,제과점영업,흥덕구,복대동
20101029,1,,충청북도 청주시 흥덕구 오송읍 연제리 722 모아미래도프라자,몽블랑제오송점,제과점영업,흥덕구,오송읍
20101116,1,,충청북도 청주시 청원구 오창읍 창리 46-1번지,파리바게뜨청원오창점,제과점영업,청원구,오창읍
20140217,1,,충청북도 청주시 청원구 주중동 589-5번지 1층,뚜레쥬르청주성모병원점,제과점영업,청원구,주중동
20110112,1,,충청북도 청주시 서원구 수곡동 331번지 (1층),파리바게뜨산남주공점,제과점영업,서원구,수곡동
20110118,1,,"충청북도 청주시 청원구 사천동 413-8 2층,지상인접",파리바게뜨청주사천2호점,제과점영업,청원구,사천동
20110119,1,,충청북도 청주시 서원구 산남동 501 (1층),빚은청주산남점,제과점영업,서원구,산남동
20110121,1,,"충청북도 청주시 흥덕구 복대동 3379번지 신영지웰시티(101,102호)",파리바게뜨복대지웰점,제과점영업,흥덕구,복대동
20110211,1,,충청북도 청주시 흥덕구 복대동 309-2번지 (1층),바누아투과자점,제과점영업,흥덕구,복대동
20110225,1,,충청북도 청주시 흥덕구 오송읍 만수리 524번지 백천빌딩 103.104호,뚜레쥬르충북오송점,제과점영업,흥덕구,오송읍
